N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
153,효성,"74,200","2,100",-2.75%,"5,000","15,635","21,071",7.02,"141,344",-34.79,4.25,
154,KODEX 레버리지,"25,340","1,270",-4.77%,0,"15,407","60,800",2.19,"57,192,283",N/A,N/A,
155,KODEX MSCI Korea TR,"13,315",355,-2.60%,0,"15,392","115,600",11.04,"511,049",N/A,N/A,
156,KODEX 종합채권(AA-이상)액티브,"109,830",40,-0.04%,0,"15,059","13,711",0.00,"4,726",N/A,N/A,
157,한국앤컴퍼니,"15,850",450,-2.76%,500,"14,744","93,020",7.43,"538,200",13.23,4.71,
158,LG생활건강우,"700,000","10,000",-1.41%,"5,000","14,698","2,100",84.43,"15,264",15.68,N/A,
159,지누스,"101,500","3,000",-2.87%,500,"14,623","14,407",23.05,"123,347",20.48,26.32,
160,TIGER MSCI Korea TR,"16,725",475,-2.76%,0,"14,567","87,100",0.00,"183,848",N/A,N/A,
161,부광약품,"22,400","1,000",-4.27%,500,"14,524","64,838",4.78,"758,098","11,200.00",-2.00,
162,명신산업,"35,400","1,700",-4.58%,500,"14,436","40,779",1.71,"843,849",N/A,53.84,
163,솔루스첨단소재,"47,000","2,600",-5.24%,100,"14,377","30,590",8.46,"947,556",135.84,N/A,
164,세방전지,"101,500","11,000",-9.78%,500,"14,210","14,000",25.81,"829,661",19.23,7.70,
165,롯데정밀화학,"54,400","2,000",-3.55%,"5,000","14,035","25,800",22.77,"168,145",8.20,11.73,
166,NHN,"69,900","1,200",-1.69%,500,"13,676","19,565",11.59,"110,216",46.57,0.78,
167,LG전자우,"78,900","4,900",-5.85%,"5,000","13,560","17,186",38.33,"955,170",17.14,N/A,
168,효성티앤씨,"299,500","16,000",-5.07%,"5,000","12,961","4,328",17.97,"229,449",15.20,20.86,
169,SK네트웍스,"5,160",190,-3.55%,"2,500","12,806","248,188",11.92,"1,745,066",-22.34,-5.85,
170,이노션,"64,000","1,200",+1.91%,500,"12,800","20,000",29.60,"183,699",19.93,9.88,
171,메리츠금융지주,"9,540",150,-1.55%,500,"12,785","134,011",8.27,"247,970",2.74,15.26,
172,영진약품,"6,750",180,-2.60%,500,"12,345","182,893",4.19,"1,612,726","-1,687.50",4.43,
173,신세계인터내셔날,"171,500","8,000",-4.46%,"5,000","12,245","7,140",4.93,"72,979",27.16,12.98,
174,한전KPS,"27,100",350,-1.28%,200,"12,195","45,000",10.85,"266,954",10.06,14.98,
175,SK디스커버리,"64,000","1,000",-1.54%,"5,000","12,184","19,038",9.89,"199,162",4.20,11.52,
176,KODEX 인버스,"4,070",100,+2.52%,0,"12,177","299,200",2.49,"171,469,756",N/A,N/A,
177,다우기술,"26,600","1,500",-5.34%,500,"11,935","44,867",22.42,"1,295,656",4.28,14.62,
